id,event_name,category,city,start_date,start_time,end_time,longitude,latitude,min_ticket_price,max_ticket_price
1,Startups Mentorship Program,Startups & Small Business,Indianapolis,5/14/2022,11:00,12:00,-86.1090119,39.7774501,30.00 USD,75.00 USD
2,[Free Masterclass] Google Analytics Beginners Tips & Tricks in Indianapolis,Sales & Marketing,Indianapolis,5/10/2022,13:00,13:40,-86.1615445,39.7867082,0.00 USD,0.00 USD
3,[Free Masterclass] How to Write SEO Friendly Google Content in Indianapolis,Sales & Marketing,Indianapolis,5/10/2022,13:00,13:40,-86.1615445,39.7867082,0.00 USD,0.00 USD
4,[Free Masterclass] Rank #1 on Google Maps & Yelp: Local SEO in Indianapolis,Sales & Marketing,Indianapolis,5/10/2022,13:00,13:40,-86.1615445,39.7867082,0.00 USD,0.00 USD
5,Conquer Your Fear of Public Speaking -Indianapolis -Online Free Trial Class,Career,Indianapolis,5/10/2022,18:00,19:30,-86.2798731,39.7360227,0.00 USD,0.00 USD
6,[Free Masterclass] Get More Targeted Instagram Followers in Indianapolis,Sales & Marketing,Indianapolis,5/10/2022,13:00,13:40,-86.1615445,39.7867082,0.00 USD,0.00 USD
7,"Cyber Security Overview 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,545.00 USD,795.00 USD
8,Startups Fund Raising Program,Startups & Small Business,Indianapolis,5/14/2022,12:00,13:00,-86.1700894,39.7794767,30.00 USD,75.00 USD
9,Become a Home-Based Travel Advisor - NO EXPERIENCE NECESSARY (INDIANAPOLIS),Travel,Indianapolis,5/16/2022,20:00,20:30,-86.2314954,39.922868,0.00 USD,0.00 USD
10,"Sales, Marketing, Customer Acquisition & Retention Strategies for Startup",Sales & Marketing,Indianapolis,5/11/2022,11:00,12:00,-86.158068,39.768403,35.00 USD,75.00 USD
11,[Free Masterclass] SEO Link Building Strategies 101 in Indianapolis,Sales & Marketing,Indianapolis,5/10/2022,13:00,13:40,-86.1615445,39.7867082,0.00 USD,0.00 USD
12,[Free Masterclass] Google AdWords Tutorial & Walk Through in Indianapolis,Sales & Marketing,Indianapolis,5/10/2022,13:00,13:40,-86.1615445,39.7867082,0.00 USD,0.00 USD
13,Weekly Bible Class,Christianity,Indianapolis,5/14/2022,12:00,14:00,-86.0456477,39.8426551,0.00 USD,0.00 USD
14,"PMP Certification Training In Indianapolis, IN",Career,Indianapolis,5/24/2022,9:00,17:00,-86.1504735,39.9283129,999.00 USD,1499.00 USD
15,"Event Planning 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1009742,39.9249343,545.00 USD,795.00 USD
16,"Introduction To Web Of Things 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/11/2022,9:00,17:00,-86.1007742,39.9249883,545.00 USD,795.00 USD
17,#JobsOffice Virtual Job Fair / Career Expo Event #Indianapolis,Career,Indianapolis,6/3/2022,11:00,14:00,-86.1573709,39.7713425,0.00 USD,0.00 USD
18,"Risk Assessment 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,545.00 USD,795.00 USD
