id,name,longitude,latitude,cuisine,vegan,vegetarian
1,Indianapolis 500 Grill,-86.2977915,39.715038,burger,,
2,Hard Rock Cafe,-86.1579036,39.7657707,american,no,yes
3,McDonald's,-86.0076571,39.7172141,burger,,
4,Five Guys,-86.3255477,39.7642274,burger,,
5,Outback Steakhouse,-86.3248709,39.7644189,american;steak,,
6,McAlister's Deli,-86.3246081,39.7644272,sandwich,,
7,Panera Bread,-86.325807,39.7632272,sandwich;bakery,,
8,Wings Etc,-86.3257963,39.7628396,,,
9,Ruby Tuesday,-86.1387913,39.651172,american,,
10,The Cheesecake Factory,-86.1083883,39.9135836,american,,yes
11,Pizza Hut,-85.9962137,39.8969416,pizza,,
12,Los Cuates,-86.0564953,39.7707368,mexican,,
13,Grindstone Charley's,-86.2625743,39.7977873,american,,
14,Outback Steakhouse,-86.0138923,39.801005,american;steak,,
15,Papa John's,-86.0447986,39.7768392,pizza,,
16,Dunkin' Donuts,-86.3106271,39.6607058,donut,,
17,Papa John's,-86.310187,39.6610814,pizza,,
18,Asian Cuisine,-86.1138597,39.9257853,chinese,,yes
19,Arni's,-86.0906049,39.9255878,pizza,,yes
20,Pots and Pans Pie Company,-86.1454457,39.84326,,,
21,Qdoba,-86.1211398,39.8888544,mexican,,
22,Capri Ristorante,-86.1200293,39.8898875,italian,,
23,Subway,-86.0079422,39.7181385,sandwich,,
24,Wheatley's,-86.009286,39.7045059,fish_and_chips,,
25,New Bethel Ordinary,-86.0101925,39.7049392,american,,
26,Randy's Pizza,-86.0135748,39.7070358,pizza,,
27,Wendy's,-86.0087576,39.7133931,burger,,
28,Donatos Pizza,-86.1866447,39.9112752,pizza,,
29,Papa John's,-86.1833952,39.9094349,pizza,,
30,Olive Garden,-86.0612748,39.905915,italian,,
31,Pizza Hut,-86.243117,39.7553209,pizza,,
32,McDonald's,-86.2471114,39.7541243,burger,,
33,Church's Chicken,-86.2477712,39.753947,chicken,,
34,Fazoli's,-86.2498204,39.7533304,italian,,
35,McDonald's,-86.2796278,39.7443907,burger,,
36,Einstein Bros. Bagels,-86.219956,39.91212,bagel,,
37,Bravo,-86.206211,39.912846,italian,,
38,Buffalo Wild Wings,-86.204785,39.913694,wings,,
39,Panera Bread,-86.212807,39.912497,sandwich;bakery,,
40,Noodles 'n Company,-86.220122,39.912081,asian,,
41,McDonald's,-86.2974312,39.7148558,burger,,
42,NAISA Pan-Asian Restaurant,-86.1413023,39.753281,asian,,
43,Siam Square,-86.1420077,39.7543109,thai,,
44,A2Z Cafe,-86.0895597,39.9255856,,yes,yes
45,Chipotle,-86.0903204,39.9264261,mexican,yes,yes
46,Jasmine Thai Restaurant,-86.0882222,39.9257958,thai,yes,yes
47,Red Habenero,-86.0873043,39.9258039,mexican,,
48,Subway,-86.0683231,39.9261314,sandwich,,
49,China Wok,-86.0687925,39.9251604,chinese,,
50,MacKenzie River Pizza Co,-86.0857578,39.9044888,pizza;american,,
51,Wasabi on 82nd,-86.0847458,39.9044414,japanese,,
52,Qdoba,-86.0844755,39.9044345,mexican,,
53,Jersey Mike's Subs,-86.0839581,39.9042889,sandwich,,
54,Noodles & Company,-86.0799737,39.9047249,pasta,,
55,One World Market,-86.0734242,39.910228,japanese,,
56,Little Caesars,-86.1393143,39.7360429,pizza,,
57,Bluebeard,-86.1459273,39.7576245,eclectic,,
58,Steak 'n Shake,-86.0974444,39.9264284,burger,no,yes
59,Mama Carolla's,-86.1408916,39.8509266,italian,,
60,Iaria's,-86.1456929,39.7618886,italian,,
61,Chipotle,-86.1342437,39.9128272,mexican,,
62,Pure,-86.1406519,39.7526076,sandwich,,
63,Yats,-86.1423321,39.7794142,cajun,yes,yes
64,Greek Islands,-86.159472,39.755234,greek,,
